CMDLINE c:\users\ialrazi\powersynth\cornerstitch_dev\powercad-full\venv_64bit\scripts\python.exe powercad\recursive_suite\perf_test.py
MEM 149.140625 1571608219.3710
MEM 149.140625 1571608219.4710
MEM 149.140625 1571608219.5710
MEM 149.140625 1571608219.6720
MEM 149.140625 1571608219.7720
MEM 149.140625 1571608219.8720
MEM 149.140625 1571608219.9720
MEM 149.140625 1571608220.0730
MEM 149.140625 1571608220.1730
MEM 149.140625 1571608220.2730
MEM 149.140625 1571608220.3730
MEM 149.140625 1571608220.4740
MEM 149.140625 1571608220.5740
MEM 149.140625 1571608220.6750
MEM 149.140625 1571608220.7760
MEM 149.140625 1571608220.8760
MEM 149.140625 1571608220.9770
MEM 149.140625 1571608221.0770
MEM 149.140625 1571608221.1770
MEM 149.140625 1571608221.2770
MEM 149.140625 1571608221.3780
MEM 149.140625 1571608221.4780
MEM 149.140625 1571608221.5790
MEM 149.140625 1571608221.6790
MEM 149.140625 1571608221.7800
MEM 149.140625 1571608221.8800
MEM 149.140625 1571608221.9810
MEM 149.078125 1571608222.0810
MEM 149.078125 1571608222.1810
MEM 149.078125 1571608222.2820
MEM 149.078125 1571608222.3820
MEM 149.078125 1571608222.4830
MEM 149.078125 1571608222.5830
MEM 149.078125 1571608222.6830
MEM 149.078125 1571608222.7830
MEM 149.078125 1571608222.8840
MEM 149.078125 1571608222.9840
MEM 149.078125 1571608223.0840
MEM 149.078125 1571608223.1850
MEM 149.078125 1571608223.2850
MEM 149.078125 1571608223.3860
MEM 149.078125 1571608223.4860
MEM 149.078125 1571608223.5860
MEM 149.078125 1571608223.6860
MEM 149.078125 1571608223.7870
MEM 149.078125 1571608223.8870
MEM 149.078125 1571608223.9880
MEM 149.078125 1571608224.0890
MEM 149.078125 1571608224.1890
MEM 149.078125 1571608224.2900
MEM 149.078125 1571608224.3900
MEM 149.078125 1571608224.4910
MEM 149.078125 1571608224.5910
MEM 149.078125 1571608224.6910
MEM 149.078125 1571608224.7910
MEM 149.078125 1571608224.8920
MEM 149.078125 1571608224.9920
MEM 149.078125 1571608225.0920
MEM 149.078125 1571608225.1930
MEM 149.078125 1571608225.2930
MEM 149.078125 1571608225.3930
MEM 149.078125 1571608225.4940
MEM 149.078125 1571608225.5940
MEM 149.078125 1571608225.6940
MEM 149.078125 1571608225.7940
MEM 149.078125 1571608225.8950
MEM 149.078125 1571608225.9950
MEM 149.078125 1571608226.0950
MEM 149.078125 1571608226.1960
MEM 149.078125 1571608226.2960
MEM 149.078125 1571608226.3970
MEM 149.078125 1571608226.4970
MEM 149.078125 1571608226.5980
MEM 149.078125 1571608226.6980
MEM 149.078125 1571608226.7980
MEM 149.078125 1571608226.8990
MEM 149.078125 1571608226.9990
MEM 149.078125 1571608227.1000
MEM 149.078125 1571608227.2000
MEM 149.078125 1571608227.3000
MEM 149.078125 1571608227.4000
MEM 149.078125 1571608227.5010
MEM 149.078125 1571608227.6010
MEM 149.078125 1571608227.7020
MEM 149.078125 1571608227.8020
MEM 149.078125 1571608227.9020
MEM 149.078125 1571608228.0020
MEM 149.078125 1571608228.1030
MEM 149.078125 1571608228.2030
MEM 149.078125 1571608228.3040
MEM 149.078125 1571608228.4040
MEM 149.078125 1571608228.5040
MEM 149.078125 1571608228.6050
MEM 149.078125 1571608228.7050
MEM 149.078125 1571608228.8060
MEM 149.078125 1571608228.9060
MEM 149.078125 1571608229.0060
MEM 149.078125 1571608229.1060
MEM 149.078125 1571608229.2070
MEM 149.078125 1571608229.3070
MEM 149.078125 1571608229.4070
MEM 149.078125 1571608229.5080
MEM 149.078125 1571608229.6080
MEM 149.078125 1571608229.7080
MEM 149.078125 1571608229.8080
MEM 149.078125 1571608229.9090
MEM 149.078125 1571608230.0090
MEM 149.078125 1571608230.1090
MEM 149.078125 1571608230.2100
MEM 149.078125 1571608230.3100
